id,host_phylum,host_class,host_order,host_family,host_genus,host_species,site,area,reef_bay,collection_latitude,collection_longitude,collection_date,collection_year,collection_month,collection_depth,site_zone,number,no_sp,no_sp_lo,full_sample_id,m_y,m_y_s_z,sample_full,coral_species,Timepoint,bio_locator,site_zone,depth_m,f_reads_name,r_reads_name,sample_name_bioac,lat_lon
C1,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,radians,SMB,SM,bay,12.26947,69.12917,3/1/20,2020,March,1,SM_bay,92,92_radians,92_radians_SM_bay,92SRSMBMarch2020,March_2020,March_2020_SM_bay,SM_bay_C1_March_2020,Siderastrea radians,Mar-20,Curaçao: Santa Martha Bay,Santa Martha Bay,1 m,C1_R1_NoIll.fastq.gz,C1_R2_NoIll.fastq.gz,C1_R1_NoIll,12.26947 N 69.12917 W
C10,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,SMB,SM,bay,12.26947,69.12917,11/1/20,2020,November,1,SM_bay,35,35_siderea,35_siderea_SM_bay,35SSSMBNovember2020,November_2020,November_2020_SM_bay,SM_bay_C10_November_2020,Siderastrea siderea,Nov-20,Curaçao: Santa Martha Bay,Santa Martha Bay,1 m,C10_R1_NoIll.fastq.gz,C10_R2_NoIll.fastq.gz,C10_R1_NoIll,12.26947 N 69.12917 W
C11,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,SMB,SM,bay,12.26947,69.12917,11/1/20,2020,November,1,SM_bay,37,37_siderea,37_siderea_SM_bay,37SSSMBNovember2020,November_2020,November_2020_SM_bay,SM_bay_C11_November_2020,Siderastrea siderea,Nov-20,Curaçao: Santa Martha Bay,Santa Martha Bay,1 m,C11_R1_NoIll.fastq.gz,C11_R2_NoIll.fastq.gz,C11_R1_NoIll,12.26947 N 69.12917 W
C12,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,SMB,SM,bay,12.26947,69.12917,11/1/20,2020,November,1,SM_bay,70,70_siderea,70_siderea_SM_bay,70SSSMBNovember2020,November_2020,November_2020_SM_bay,SM_bay_C12_November_2020,Siderastrea siderea,Nov-20,Curaçao: Santa Martha Bay,Santa Martha Bay,1 m,C12_R1_NoIll.fastq.gz,C12_R2_NoIll.fastq.gz,C12_R1_NoIll,12.26947 N 69.12917 W
C2,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,SWB,SW,bay,12.07093,68.8585,11/1/20,2020,November,1,SW_bay,56,56_siderea,56_siderea_SW_bay,56SSSWBNovember2020,November_2020,November_2020_SW_bay,SW_bay_C2_November_2020,Siderastrea siderea,Nov-20,Curaçao: Spaanse Water Bay,Spaanse Water Bay,1 m,C2_R1_NoIll.fastq.gz,C2_R2_NoIll.fastq.gz,C2_R1_NoIll,12.07093 N 68.8585 W
C3,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,SWB,SW,bay,12.07093,68.8585,11/1/20,2020,November,1,SW_bay,77,77_siderea,77_siderea_SW_bay,77SSSWBNovember2020,November_2020,November_2020_SW_bay,SW_bay_C3_November_2020,Siderastrea siderea,Nov-20,Curaçao: Spaanse Water Bay,Spaanse Water Bay,1 m,C3_R1_NoIll.fastq.gz,C3_R2_NoIll.fastq.gz,C3_R1_NoIll,12.07093 N 68.8585 W
C4,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,SWB,SW,bay,12.07093,68.8585,11/1/20,2020,November,1,SW_bay,83,83_siderea,83_siderea_SW_bay,83SSSWBNovember2020,November_2020,November_2020_SW_bay,SW_bay_C4_November_2020,Siderastrea siderea,Nov-20,Curaçao: Spaanse Water Bay,Spaanse Water Bay,1 m,C4_R1_NoIll.fastq.gz,C4_R2_NoIll.fastq.gz,C4_R1_NoIll,12.07093 N 68.8585 W
C5,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,SWB,SW,bay,12.07093,68.8585,11/1/20,2020,November,1,SW_bay,95,95_siderea,95_siderea_SW_bay,95SSSWBNovember2020,November_2020,November_2020_SW_bay,SW_bay_C5_November_2020,Siderastrea siderea,Nov-20,Curaçao: Spaanse Water Bay,Spaanse Water Bay,1 m,C5_R1_NoIll.fastq.gz,C5_R2_NoIll.fastq.gz,C5_R1_NoIll,12.07093 N 68.8585 W
C6,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,DB,SW,reef,12.06624,68.86019,11/1/20,2020,November,5,SW_reef,49,49_siderea,49_siderea_SW_reef,49SSDBNovember2020,November_2020,November_2020_SW_reef,SW_reef_C6_November_2020,Siderastrea siderea,Nov-20,Curaçao: Spaanse Water Reef,Spaanse Water Reef,5 m,C6_R1_NoIll.fastq.gz,C6_R2_NoIll.fastq.gz,C6_R1_NoIll,12.06624 N 68.86019 W
C7,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,DB,SW,reef,12.06624,68.86019,11/1/20,2020,November,5,SW_reef,85,85_siderea,85_siderea_SW_reef,85SSDBNovember2020,November_2020,November_2020_SW_reef,SW_reef_C7_November_2020,Siderastrea siderea,Nov-20,Curaçao: Spaanse Water Reef,Spaanse Water Reef,5 m,C7_R1_NoIll.fastq.gz,C7_R2_NoIll.fastq.gz,C7_R1_NoIll,12.06624 N 68.86019 W
