,id,host_phylum,host_class,host_order,host_family,host_genus,host_species,site,area,reef_bay,collection_latitude,collection_longitude,collection_date,collection_year,collection_month,collection_depth,site_zone,number,no_sp,no_sp_lo,full_sample_id,m_y,m_y_s_z,sample_full,is.neg,mean_pH_site,mean_temp_site,mean_sal_site,mean_do_site,mean_par_site,range_pH_site,range_temp_site,range_sal_site,range_do_site,range_par_site,site_nice,m_rb,coral_species,tp_suffix,number_time
L2,L2,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,radians,SMB,SM,bay,12.26947,69.12917,202011,2020,November,1,SM_bay,36,36_radians,36_radians_SM_bay,36SRSMBNovember2020,November_2020,November_2020_SM_bay,SM_bay_L2_November_2020,FALSE,8.060383832,28.08237994,35.07786986,6.179520315,468.650535,0.540967,6.24,9.4628401,6.52,1644.409065,Santa Martha Bay,November_2020 bay,Siderastrea radians,b,36b
L3,L3,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,radians,SMB,SM,bay,12.26947,69.12917,202011,2020,November,1,SM_bay,45,45_radians,45_radians_SM_bay,45SRSMBNovember2020,November_2020,November_2020_SM_bay,SM_bay_L3_November_2020,FALSE,8.060383832,28.08237994,35.07786986,6.179520315,468.650535,0.540967,6.24,9.4628401,6.52,1644.409065,Santa Martha Bay,November_2020 bay,Siderastrea radians,b,45b
L4,L4,cnidaria,anthozoa,scleractinia,Poritidae,Porites,porites,SMB,SM,bay,12.26947,69.12917,202011,2020,November,1,SM_bay,15,15_porites,15_porites_SM_bay,15PPSMBNovember2020,November_2020,November_2020_SM_bay,SM_bay_L4_November_2020,FALSE,8.060383832,28.08237994,35.07786986,6.179520315,468.650535,0.540967,6.24,9.4628401,6.52,1644.409065,Santa Martha Bay,November_2020 bay,Porites sp.,b,15b
L5,L5,cnidaria,anthozoa,scleractinia,Poritidae,Porites,porites,SMR,SM,reef,12.26654,69.12768,202011,2020,November,5,SM_reef,7,7_porites,7_porites_SM_reef,7PPSMRNovember2020,November_2020,November_2020_SM_reef,SM_reef_L5_November_2020,FALSE,8.041232107,28.45125721,35.36889033,6.211836765,670.5445991,0.633093,3.18,3.67483942,2.84,2122.055021,Santa Martha Reef,November_2020 reef,Porites sp.,b,7b
L6,L6,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,SWB,SW,bay,12.07093,68.8585,202111,2021,November,1,SW_bay,71,71_siderea,71_siderea_SW_bay,71SSSWBNovember2021,November_2021,November_2021_SW_bay,SW_bay_L6_November_2021,FALSE,7.976361734,28.77875942,35.40012799,6.08658331,316.617909,0.645544,5.14,3.39430111,6.45,1391.908169,Spaanse Water Bay,November_2021 bay,Siderastrea siderea,c,71c
L7,L7,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,SWB,SW,bay,12.07093,68.8585,202111,2021,November,1,SW_bay,94,94_siderea,94_siderea_SW_bay,94SSSWBNovember2021,November_2021,November_2021_SW_bay,SW_bay_L7_November_2021,FALSE,7.976361734,28.77875942,35.40012799,6.08658331,316.617909,0.645544,5.14,3.39430111,6.45,1391.908169,Spaanse Water Bay,November_2021 bay,Siderastrea siderea,c,94c
L8,L8,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,DB,SW,reef,12.06624,68.86019,202111,2021,November,5,SW_reef,38,38_siderea,38_siderea_SW_reef,38SSDBNovember2021,November_2021,November_2021_SW_reef,SW_reef_L8_November_2021,FALSE,8.047646275,28.51712935,35.58084344,6.310593286,532.1785342,0.630546,3.52,1.42991559,3.44,1759.366821,Spaanse Water Reef,November_2021 reef,Siderastrea siderea,c,38c
L9,L9,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,DB,SW,reef,12.06624,68.86019,202111,2021,November,5,SW_reef,53,53_siderea,53_siderea_SW_reef,53SSDBNovember2021,November_2021,November_2021_SW_reef,SW_reef_L9_November_2021,FALSE,8.047646275,28.51712935,35.58084344,6.310593286,532.1785342,0.630546,3.52,1.42991559,3.44,1759.366821,Spaanse Water Reef,November_2021 reef,Siderastrea siderea,c,53c
M1,M1,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,SMB,SM,bay,12.26947,69.12917,202111,2021,November,1,SM_bay,39,39_siderea,39_siderea_SM_bay,39SSSMBNovember2021,November_2021,November_2021_SM_bay,SM_bay_M1_November_2021,FALSE,8.060383832,28.08237994,35.07786986,6.179520315,468.650535,0.540967,6.24,9.4628401,6.52,1644.409065,Santa Martha Bay,November_2021 bay,Siderastrea siderea,c,39c
M10,M10,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,radians,SMB,SM,bay,12.26947,69.12917,202111,2021,November,1,SM_bay,86,86_radians,86_radians_SM_bay,86SRSMBNovember2021,November_2021,November_2021_SM_bay,SM_bay_M10_November_2021,FALSE,8.060383832,28.08237994,35.07786986,6.179520315,468.650535,0.540967,6.24,9.4628401,6.52,1644.409065,Santa Martha Bay,November_2021 bay,Siderastrea radians,c,86c
M11,M11,cnidaria,anthozoa,scleractinia,Poritidae,Porites,porites,SMB,SM,bay,12.26947,69.12917,202111,2021,November,1,SM_bay,26,26_porites,26_porites_SM_bay,26PPSMBNovember2021,November_2021,November_2021_SM_bay,SM_bay_M11_November_2021,FALSE,8.060383832,28.08237994,35.07786986,6.179520315,468.650535,0.540967,6.24,9.4628401,6.52,1644.409065,Santa Martha Bay,November_2021 bay,Porites sp.,c,26c
M12,M12,cnidaria,anthozoa,scleractinia,Poritidae,Porites,porites,SMB,SM,bay,12.26947,69.12917,202111,2021,November,1,SM_bay,97,97_porites,97_porites_SM_bay,97PPSMBNovember2021,November_2021,November_2021_SM_bay,SM_bay_M12_November_2021,FALSE,8.060383832,28.08237994,35.07786986,6.179520315,468.650535,0.540967,6.24,9.4628401,6.52,1644.409065,Santa Martha Bay,November_2021 bay,Porites sp.,c,97c
M2,M2,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,SMB,SM,bay,12.26947,69.12917,202111,2021,November,1,SM_bay,44,44_siderea,44_siderea_SM_bay,44SSSMBNovember2021,November_2021,November_2021_SM_bay,SM_bay_M2_November_2021,FALSE,8.060383832,28.08237994,35.07786986,6.179520315,468.650535,0.540967,6.24,9.4628401,6.52,1644.409065,Santa Martha Bay,November_2021 bay,Siderastrea siderea,c,44c
M4,M4,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,SMR,SM,reef,12.26654,69.12768,202111,2021,November,5,SM_reef,15,15_siderea,15_siderea_SM_reef,15SSSMRNovember2021,November_2021,November_2021_SM_reef,SM_reef_M4_November_2021,FALSE,8.041232107,28.45125721,35.36889033,6.211836765,670.5445991,0.633093,3.18,3.67483942,2.84,2122.055021,Santa Martha Reef,November_2021 reef,Siderastrea siderea,c,15c
M7,M7,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,SMR,SM,reef,12.26654,69.12768,202111,2021,November,5,SM_reef,18,18_siderea,18_siderea_SM_reef,18SSSMRNovember2021,November_2021,November_2021_SM_reef,SM_reef_M7_November_2021,FALSE,8.041232107,28.45125721,35.36889033,6.211836765,670.5445991,0.633093,3.18,3.67483942,2.84,2122.055021,Santa Martha Reef,November_2021 reef,Siderastrea siderea,c,18c
M8,M8,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,SMR,SM,reef,12.26654,69.12768,202111,2021,November,5,SM_reef,19,19_siderea,19_siderea_SM_reef,19SSSMRNovember2021,November_2021,November_2021_SM_reef,SM_reef_M8_November_2021,FALSE,8.041232107,28.45125721,35.36889033,6.211836765,670.5445991,0.633093,3.18,3.67483942,2.84,2122.055021,Santa Martha Reef,November_2021 reef,Siderastrea siderea,c,19c
