"id","Observed","Shannon","InvSimpson","host_phylum","host_class","host_order","host_family","host_genus","host_species","site","area","reef_bay","collection_latitude","collection_longitude","collection_date","collection_year","collection_month","collection_depth","site_zone","number","no_sp","no_sp_lo","full_sample_id","m_y","m_y_s_z","sample_full","is.neg","even","r_b_m_y"
"D2",248,3.33932957668011,8.89650644700939,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","siderea","SMR","SM","reef",12.26654,69.12768,"11/1/20",2020,"November",5,"SM_reef","42","42_siderea","42_siderea_SM_reef","42SSSMRNovember2020","November_2020","November_2020_SM_reef","SM_reef_D2_November_2020",FALSE,0.60567202922553,"reef November_2020"
"D3",40,0.878816724831007,1.3921399200949,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","siderea","SMR","SM","reef",12.26654,69.12768,"11/1/20",2020,"November",5,"SM_reef","43","43_siderea","43_siderea_SM_reef","43SSSMRNovember2020","November_2020","November_2020_SM_reef","SM_reef_D3_November_2020",FALSE,0.238234058814507,"reef November_2020"
"D4",85,3.6284071605096,17.3128099662792,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","siderea","SMR","SM","reef",12.26654,69.12768,"11/1/20",2020,"November",5,"SM_reef","63","63_siderea","63_siderea_SM_reef","63SSSMRNovember2020","November_2020","November_2020_SM_reef","SM_reef_D4_November_2020",FALSE,0.81672113137596,"reef November_2020"
"D5",324,4.10786287322577,15.1328365567863,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","siderea","SMR","SM","reef",12.26654,69.12768,"11/1/20",2020,"November",5,"SM_reef","64","64_siderea","64_siderea_SM_reef","64SSSMRNovember2020","November_2020","November_2020_SM_reef","SM_reef_D5_November_2020",FALSE,0.710611509056502,"reef November_2020"
"D6",134,3.36314587736708,11.4138412525827,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","radians","SWB","SW","bay",12.07093,68.8585,"11/1/20",2020,"November",1,"SW_bay","91","91_radians","91_radians_SW_bay","91SRSWBNovember2020","November_2020","November_2020_SW_bay","SW_bay_D6_November_2020",FALSE,0.686659020044058,"bay November_2020"
"D7",92,2.92131567230084,9.70600236028183,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","radians","SWB","SW","bay",12.07093,68.8585,"11/1/20",2020,"November",1,"SW_bay","75","75_radians","75_radians_SW_bay","75SRSWBNovember2020","November_2020","November_2020_SW_bay","SW_bay_D7_November_2020",FALSE,0.646053131968262,"bay November_2020"
"D8",63,3.100575235544,10.2801197854302,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","radians","SWB","SW","bay",12.07093,68.8585,"11/1/20",2020,"November",1,"SW_bay","79","79_radians","79_radians_SW_bay","79SRSWBNovember2020","November_2020","November_2020_SW_bay","SW_bay_D8_November_2020",FALSE,0.74836456941492,"bay November_2020"
"D9",95,3.08113288796094,14.2094067325293,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","radians","SWB","SW","bay",12.07093,68.8585,"11/1/20",2020,"November",1,"SW_bay","80","80_radians","80_radians_SW_bay","80SRSWBNovember2020","November_2020","November_2020_SW_bay","SW_bay_D9_November_2020",FALSE,0.676595560508887,"bay November_2020"
"F1",1106,5.95501104012724,90.3375203761731,"cnidaria","anthozoa","scleractinia","Poritidae","Porites","porites","SMR","SM","reef",12.26654,69.12768,"11/1/20",2020,"November",5,"SM_reef","68","68_porites","68_porites_SM_reef","68PPSMRNovember2020","November_2020","November_2020_SM_reef","SM_reef_F1_November_2020",FALSE,0.849683475351011,"reef November_2020"
"F10",563,4.22426105135899,14.201041007804,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","siderea","SMB","SM","bay",12.26947,69.12917,"11/1/21",2021,"November",1,"SM_bay","35","35_siderea","35_siderea_SM_bay","35SSSMBNovember2021","November_2021","November_2021_SM_bay","SM_bay_F10_November_2021",FALSE,0.666994243012731,"bay November_2021"
"F11",605,5.34456531408177,79.5526660246633,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","siderea","SMB","SM","bay",12.26947,69.12917,"11/1/21",2021,"November",1,"SM_bay","37","37_siderea","37_siderea_SM_bay","37SSSMBNovember2021","November_2021","November_2021_SM_bay","SM_bay_F11_November_2021",FALSE,0.83440666466483,"bay November_2021"
"F12",953,4.84258349446937,27.1063355896596,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","siderea","SMB","SM","bay",12.26947,69.12917,"11/1/21",2021,"November",1,"SM_bay","70","70_siderea","70_siderea_SM_bay","70SSSMBNovember2021","November_2021","November_2021_SM_bay","SM_bay_F12_November_2021",FALSE,0.705955591164405,"bay November_2021"
"F2",105,2.69081618952811,7.19528524872766,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","siderea","SWB","SW","bay",12.07093,68.8585,"11/1/21",2021,"November",1,"SW_bay","59","59_siderea","59_siderea_SW_bay","59SSSWBNovember2021","November_2021","November_2021_SW_bay","SW_bay_F2_November_2021",FALSE,0.578177721139595,"bay November_2021"
"F3",345,3.74543482793041,12.948648887028,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","siderea","SWB","SW","bay",12.07093,68.8585,"11/1/21",2021,"November",1,"SW_bay","77","77_siderea","77_siderea_SW_bay","77SSSWBNovember2021","November_2021","November_2021_SW_bay","SW_bay_F3_November_2021",FALSE,0.64095257272523,"bay November_2021"
