,id,host_phylum,host_class,host_order,host_family,host_genus,host_species,site,area,reef_bay,collection_latitude,collection_longitude,collection_date,collection_year,collection_month,collection_depth,site_zone,number,no_sp,no_sp_lo,full_sample_id,m_y,m_y_s_z,sample_full,dominant_type
28,C12,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,SMB,SM,bay,12.26947,69.12917,11/1/20,2020,November,1,SM_bay,70,70_siderea,70_siderea_SM_bay,70SSSMBNovember2020,November_2020,November_2020_SM_bay,SM_bay_C12_November_2020,C1
29,C2,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,SWB,SW,bay,12.07093,68.8585,11/1/20,2020,November,1,SW_bay,56,56_siderea,56_siderea_SW_bay,56SSSWBNovember2020,November_2020,November_2020_SW_bay,SW_bay_C2_November_2020,D1
30,C3,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,SWB,SW,bay,12.07093,68.8585,11/1/20,2020,November,1,SW_bay,77,77_siderea,77_siderea_SW_bay,77SSSWBNovember2020,November_2020,November_2020_SW_bay,SW_bay_C3_November_2020,D1
31,C4,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,SWB,SW,bay,12.07093,68.8585,11/1/20,2020,November,1,SW_bay,83,83_siderea,83_siderea_SW_bay,83SSSWBNovember2020,November_2020,November_2020_SW_bay,SW_bay_C4_November_2020,D1
32,C5,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,SWB,SW,bay,12.07093,68.8585,11/1/20,2020,November,1,SW_bay,95,95_siderea,95_siderea_SW_bay,95SSSWBNovember2020,November_2020,November_2020_SW_bay,SW_bay_C5_November_2020,D1
33,C6,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,DB,SW,reef,12.06624,68.86019,11/1/20,2020,November,5,SW_reef,49,49_siderea,49_siderea_SW_reef,49SSDBNovember2020,November_2020,November_2020_SW_reef,SW_reef_C6_November_2020,D1
34,C7,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,DB,SW,reef,12.06624,68.86019,11/1/20,2020,November,5,SW_reef,85,85_siderea,85_siderea_SW_reef,85SSDBNovember2020,November_2020,November_2020_SW_reef,SW_reef_C7_November_2020,C3
35,C8,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,DB,SW,reef,12.06624,68.86019,11/1/20,2020,November,5,SW_reef,96,96_siderea,96_siderea_SW_reef,96SSDBNovember2020,November_2020,November_2020_SW_reef,SW_reef_C8_November_2020,D1
36,C9,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,DB,SW,reef,12.06624,68.86019,11/1/20,2020,November,5,SW_reef,97,97_siderea,97_siderea_SW_reef,97SSDBNovember2020,November_2020,November_2020_SW_reef,SW_reef_C9_November_2020,C3
37,D1,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,SMB,SM,bay,12.26947,69.12917,11/1/20,2020,November,1,SM_bay,82,82_siderea,82_siderea_SM_bay,82SSSMBNovember2020,November_2020,November_2020_SM_bay,SM_bay_D1_November_2020,D1
38,D10,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,radians,SWB,SW,bay,12.07093,68.8585,11/1/20,2020,November,1,SW_bay,84,84_radians,84_radians_SW_bay,84SRSWBNovember2020,November_2020,November_2020_SW_bay,SW_bay_D10_November_2020,C46
39,D11,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,radians,SMB,SM,bay,12.26947,69.12917,11/1/20,2020,November,1,SM_bay,98,98_radians,98_radians_SM_bay,98SRSWBNovember2020,November_2020,November_2020_SM_bay,SM_bay_D11_November_2020,C46
40,D12,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,radians,SMB,SM,bay,12.26947,69.12917,11/1/20,2020,November,1,SM_bay,44,44_radians,44_radians_SM_bay,44SRSMBNovember2020,November_2020,November_2020_SM_bay,SM_bay_D12_November_2020,C1
41,D2,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,SMR,SM,reef,12.26654,69.12768,11/1/20,2020,November,5,SM_reef,42,42_siderea,42_siderea_SM_reef,42SSSMRNovember2020,November_2020,November_2020_SM_reef,SM_reef_D2_November_2020,C3
42,D3,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,SMR,SM,reef,12.26654,69.12768,11/1/20,2020,November,5,SM_reef,43,43_siderea,43_siderea_SM_reef,43SSSMRNovember2020,November_2020,November_2020_SM_reef,SM_reef_D3_November_2020,C3
