Date,Time,Temperature,Conductivity,Salinity,Timepoint,Site,Habitat
3/11/20,11:40:00,26.94,55.8,35.49969,March 2020,Spaanse Water Reef,Reef
3/11/20,11:45:00,26.96,55.8,35.4844,March 2020,Spaanse Water Reef,Reef
3/11/20,11:50:00,26.96,55.8,35.4844,March 2020,Spaanse Water Reef,Reef
3/11/20,11:55:00,26.98,55.8,35.46911,March 2020,Spaanse Water Reef,Reef
3/11/20,12:00:00,26.98,55.8,35.46148,March 2020,Spaanse Water Reef,Reef
3/11/20,12:05:00,27,55.8,35.46148,March 2020,Spaanse Water Reef,Reef
3/11/20,12:10:00,27.01,55.8,35.46911,March 2020,Spaanse Water Reef,Reef
3/11/20,12:15:00,27.01,55.8,35.47676,March 2020,Spaanse Water Reef,Reef
3/11/20,12:20:00,27,55.8,35.42038,March 2020,Spaanse Water Reef,Reef
3/11/20,12:25:00,26.99,55.8,35.44328,March 2020,Spaanse Water Reef,Reef
3/11/20,12:30:00,26.97,55.7,35.52266,March 2020,Spaanse Water Reef,Reef
3/11/20,12:35:00,26.94,55.7,35.515,March 2020,Spaanse Water Reef,Reef
3/11/20,12:40:00,26.93,55.8,35.515,March 2020,Spaanse Water Reef,Reef
3/11/20,12:45:00,26.94,55.8,35.515,March 2020,Spaanse Water Reef,Reef
3/11/20,12:50:00,26.94,55.8,35.52266,March 2020,Spaanse Water Reef,Reef
3/11/20,12:55:00,26.94,55.8,35.515,March 2020,Spaanse Water Reef,Reef
3/11/20,13:00:00,26.93,55.8,35.515,March 2020,Spaanse Water Reef,Reef
3/11/20,13:05:00,26.94,55.8,35.50735,March 2020,Spaanse Water Reef,Reef
3/11/20,13:10:00,26.94,55.8,35.42801,March 2020,Spaanse Water Reef,Reef
3/11/20,13:15:00,26.95,55.8,35.43564,March 2020,Spaanse Water Reef,Reef
3/11/20,13:20:00,26.96,55.7,35.515,March 2020,Spaanse Water Reef,Reef
3/11/20,13:25:00,26.95,55.7,35.50735,March 2020,Spaanse Water Reef,Reef
3/11/20,13:30:00,26.94,55.8,35.50735,March 2020,Spaanse Water Reef,Reef
3/11/20,13:35:00,26.95,55.8,35.49969,March 2020,Spaanse Water Reef,Reef
3/11/20,13:40:00,26.95,55.8,35.50735,March 2020,Spaanse Water Reef,Reef
3/11/20,13:45:00,26.96,55.8,35.49969,March 2020,Spaanse Water Reef,Reef
3/11/20,13:50:00,26.95,55.8,35.49969,March 2020,Spaanse Water Reef,Reef
3/11/20,13:55:00,26.96,55.8,35.50735,March 2020,Spaanse Water Reef,Reef
3/11/20,14:00:00,26.96,55.8,35.50735,March 2020,Spaanse Water Reef,Reef
3/11/20,14:05:00,26.95,55.8,35.49969,March 2020,Spaanse Water Reef,Reef
3/11/20,14:10:00,26.95,55.8,35.515,March 2020,Spaanse Water Reef,Reef
3/11/20,14:15:00,26.96,55.8,35.50735,March 2020,Spaanse Water Reef,Reef
3/11/20,14:20:00,26.94,55.8,35.515,March 2020,Spaanse Water Reef,Reef
3/11/20,14:25:00,26.95,55.8,35.50735,March 2020,Spaanse Water Reef,Reef
3/11/20,14:30:00,26.94,55.8,35.50735,March 2020,Spaanse Water Reef,Reef
3/11/20,14:35:00,26.95,55.8,35.50735,March 2020,Spaanse Water Reef,Reef
3/11/20,14:40:00,26.95,55.8,35.515,March 2020,Spaanse Water Reef,Reef
3/11/20,14:45:00,26.95,55.8,35.515,March 2020,Spaanse Water Reef,Reef
3/11/20,14:50:00,26.94,55.8,35.515,March 2020,Spaanse Water Reef,Reef
3/11/20,14:55:00,26.94,55.8,35.515,March 2020,Spaanse Water Reef,Reef
3/11/20,15:00:00,26.94,55.8,35.515,March 2020,Spaanse Water Reef,Reef
3/11/20,15:05:00,26.94,55.8,35.515,March 2020,Spaanse Water Reef,Reef
3/11/20,15:10:00,26.94,55.8,35.50735,March 2020,Spaanse Water Reef,Reef
3/11/20,15:15:00,26.94,55.8,35.50735,March 2020,Spaanse Water Reef,Reef
3/11/20,15:20:00,26.95,55.8,35.49969,March 2020,Spaanse Water Reef,Reef
3/11/20,15:25:00,26.95,55.8,35.42038,March 2020,Spaanse Water Reef,Reef
3/11/20,15:30:00,26.96,55.8,35.49969,March 2020,Spaanse Water Reef,Reef
3/11/20,15:35:00,26.97,55.7,35.49969,March 2020,Spaanse Water Reef,Reef
3/11/20,15:40:00,26.96,55.8,35.43564,March 2020,Spaanse Water Reef,Reef
3/11/20,15:45:00,26.96,55.8,35.515,March 2020,Spaanse Water Reef,Reef
3/11/20,15:50:00,26.95,55.7,35.52266,March 2020,Spaanse Water Reef,Reef
3/11/20,15:55:00,26.94,55.8,35.53032,March 2020,Spaanse Water Reef,Reef
3/11/20,16:00:00,26.93,55.8,35.53032,March 2020,Spaanse Water Reef,Reef
3/11/20,16:05:00,26.92,55.8,35.52266,March 2020,Spaanse Water Reef,Reef
3/11/20,16:10:00,26.92,55.8,35.52266,March 2020,Spaanse Water Reef,Reef
3/11/20,16:15:00,26.93,55.8,35.50735,March 2020,Spaanse Water Reef,Reef
3/11/20,16:20:00,26.93,55.8,35.50735,March 2020,Spaanse Water Reef,Reef
3/11/20,16:25:00,26.95,55.8,35.50735,March 2020,Spaanse Water Reef,Reef
3/11/20,16:30:00,26.95,55.8,35.49969,March 2020,Spaanse Water Reef,Reef
3/11/20,16:35:00,26.95,55.8,35.49969,March 2020,Spaanse Water Reef,Reef
3/11/20,16:40:00,26.96,55.8,35.49969,March 2020,Spaanse Water Reef,Reef
3/11/20,16:45:00,26.96,55.8,35.49969,March 2020,Spaanse Water Reef,Reef
3/11/20,16:50:00,26.96,55.8,35.49204,March 2020,Spaanse Water Reef,Reef
3/11/20,16:55:00,26.96,55.8,35.49204,March 2020,Spaanse Water Reef,Reef
3/11/20,17:00:00,26.97,55.8,35.4844,March 2020,Spaanse Water Reef,Reef
3/11/20,17:05:00,26.97,55.8,35.49204,March 2020,Spaanse Water Reef,Reef
3/11/20,17:10:00,26.98,55.8,35.49969,March 2020,Spaanse Water Reef,Reef
3/11/20,17:15:00,26.97,55.8,35.50735,March 2020,Spaanse Water Reef,Reef
3/11/20,17:20:00,26.96,55.8,35.515,March 2020,Spaanse Water Reef,Reef
3/11/20,17:25:00,26.95,55.8,35.515,March 2020,Spaanse Water Reef,Reef
3/11/20,17:30:00,26.94,55.8,35.515,March 2020,Spaanse Water Reef,Reef
3/11/20,17:35:00,26.94,55.8,35.52266,March 2020,Spaanse Water Reef,Reef
3/11/20,17:40:00,26.94,55.8,35.53032,March 2020,Spaanse Water Reef,Reef
