Date,Time,PAR_uncal,PAR_cal,°C,Site,Habitat,Timepoint
3/12/20,15:11:00,12243,1110.4401,26.69,Spaanse Water Reef,Reef,March 2020
3/12/20,15:16:00,12096,1097.1072,26.69,Spaanse Water Reef,Reef,March 2020
3/12/20,15:21:00,11650,1056.655,26.75,Spaanse Water Reef,Reef,March 2020
3/12/20,15:26:00,11365,1030.8055,26.69,Spaanse Water Reef,Reef,March 2020
3/12/20,15:31:00,10987,996.5209,26.75,Spaanse Water Reef,Reef,March 2020
3/12/20,15:36:00,10585,960.0595,26.75,Spaanse Water Reef,Reef,March 2020
3/12/20,15:41:00,10355,939.1985,26.75,Spaanse Water Reef,Reef,March 2020
3/12/20,15:46:00,10142,919.8794,26.75,Spaanse Water Reef,Reef,March 2020
3/12/20,15:51:00,9493,861.0151,26.75,Spaanse Water Reef,Reef,March 2020
3/12/20,15:56:00,9461,858.1127,26.75,Spaanse Water Reef,Reef,March 2020
3/12/20,16:01:00,9120,827.184,26.69,Spaanse Water Reef,Reef,March 2020
3/12/20,16:06:00,8900,807.23,26.69,Spaanse Water Reef,Reef,March 2020
3/12/20,16:11:00,8501,771.0407,26.69,Spaanse Water Reef,Reef,March 2020
3/12/20,16:16:00,8136,737.9352,26.69,Spaanse Water Reef,Reef,March 2020
3/12/20,16:21:00,7784,706.0088,26.69,Spaanse Water Reef,Reef,March 2020
3/12/20,16:26:00,7402,671.3614,26.69,Spaanse Water Reef,Reef,March 2020
3/12/20,16:31:00,7154,648.8678,26.69,Spaanse Water Reef,Reef,March 2020
3/12/20,16:36:00,6768,613.8576,26.69,Spaanse Water Reef,Reef,March 2020
3/12/20,16:41:00,6395,580.0265,26.69,Spaanse Water Reef,Reef,March 2020
3/12/20,16:46:00,6024,546.3768,26.69,Spaanse Water Reef,Reef,March 2020
3/12/20,16:51:00,5665,513.8155,26.69,Spaanse Water Reef,Reef,March 2020
3/12/20,16:56:00,5285,479.3495,26.69,Spaanse Water Reef,Reef,March 2020
